Date;Open;High;Low;Close
2021-05-20;2121.01;2134.93;2100.73;2131.18
2021-05-21;2130.95;2149.09;2126.3;2139.06
2021-05-24;2138.36;2139.33;2127.3;2134.18
2021-05-25;2144;2157.82;2131.94;2153.78
2021-05-26;2156.44;2172.5;2143.24;2164.89
2021-05-27;2167.52;2208.23;2165.53;2207.47
2021-05-28;2210.53;2237.01;2210.53;2236.31
2021-05-31;2237.25;2250.45;2227.27;2233.36
2021-06-01;2234.87;2268.18;2226.59;2233.37
2021-06-02;2234.69;2253.32;2233.99;2252.26
2021-06-04;2252.84;2261.39;2230.69;2254.59
2021-06-07;2254.62;2273.28;2245.49;2246.63
2021-06-08;2241.03;2247.11;2223.2;2237.61
2021-06-09;2239.73;2245.08;2215.18;2218.45
2021-06-10;2217.7;2242.7;2210.07;2236.89
2021-06-11;2238.75;2239.3;2224.15;2224.67
2021-06-14;2229.99;2253.2;2228.81;2253.2
2021-06-15;2262.55;2269.21;2230.1;2230.37
2021-06-16;2232.65;2244.07;2225.14;2225.27
2021-06-17;2215.45;2221.62;2204.74;2211.58
2021-06-18;2208.65;2224.42;2203.47;2220.68
2021-06-21;2210.86;2223.35;2189.24;2219.45
2021-06-22;2226.22;2234.65;2204.52;2220.53
2021-06-23;2222.93;2238.66;2217.36;2233.7
2021-06-24;2237.56;2276.77;2233.03;2273.11
2021-06-25;2271.93;2291.37;2269.55;2282.46
2021-06-28;2280.67;2293.02;2260.4;2285.81
2021-06-29;2281.71;2283.15;2251.62;2258.24
2021-06-30;2257.62;2264.36;2218.41;2218.41
2021-07-01;2223.84;2255.33;2223.84;2250.58
2021-07-02;2258.56;2269.4;2249.91;2252.18
2021-07-05;2255.07;2264.33;2254.01;2258.82
2021-07-06;2262.83;2268.55;2228.46;2228.46
2021-07-07;2234.52;2292.49;2234.52;2285.79
2021-07-08;2280.62;2280.62;2230.62;2234.6
2021-07-09;2241.61;2258.77;2233.98;2251.78
2021-07-12;2253.56;2262.35;2244.1;2255.48
2021-07-13;2259;2279.4;2258.36;2264.26
2021-07-14;2266.88;2280.19;2262.99;2268.57
2021-07-15;2268.01;2281.76;2255.35;2260.49
2021-07-16;2260.8;2272.02;2253.48;2258.1
2021-07-19;2254.48;2254.48;2196.01;2205.86
2021-07-20;2210.63;2223.97;2198.29;2221.28
2021-07-21;2215.48;2254.33;2215.48;2241.97
2021-07-22;2247.69;2252.95;2226.21;2229.86
2021-07-23;2234.32;2243.32;2232.83;2242.41
2021-07-26;2249.57;2250.75;2221.14;2240.65
2021-07-27;2241.05;2241.05;2214.24;2224.59
2021-07-28;2223.2;2249.22;2217.76;2245.76
2021-07-29;2257.08;2268.3;2257.08;2265.69
2021-07-30;2254.07;2258.76;2244.23;2253.45
2021-08-02;2261.61;2266.44;2248.02;2253.28
2021-08-03;2261.94;2272.82;2249.63;2257.73
2021-08-04;2262.05;2280.65;2261.6;2272.09
2021-08-05;2270.83;2275.58;2259.76;2270.67
2021-08-06;2272.53;2276;2255.61;2273.89
2021-08-09;2271.56;2279.9;2267.14;2274.48
2021-08-10;2275.63;2284.79;2268.38;2277.23
2021-08-11;2272.93;2283.69;2261.47;2283.69
2021-08-12;2281.08;2297.72;2277.19;2297.72
2021-08-13;2298.99;2302.1;2290.22;2302.03
2021-08-16;2289.95;2297.14;2280.31;2282.1
2021-08-17;2282.7;2300.04;2279.19;2300.04
